ID       faithfulness    informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step reasoning_alignment external_hallucination redundancy      common_sense_error missing_step    semantic_coverage_step semantic_coverage_chain discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step    grammar_step_max
0        0.7676892578601837 0.7910543791949749 0.9605234265327454 0.9074648958500301 0.06251042087872827 0.06292861700057983 0.9064346849918365 0.9669424767598684 0.837677001953125 0.9830124625035621 0.8794801533222198 0.9704811970392863 0.9638185352087021 0.011848151683807373 0.864032194018364 0.0019139210330467974 0.020851410741366677 9.48117211461549e-05 0.819879800081253 0.703682005405426
1        0.7332397674520811 0.7805952268342178 0.9503753185272217 0.9041200494883876 0.033687415448102054 0.03363335132598877 0.9152946273485819 0.9780044706526532 0.8575502038002014 0.9693283819112786 0.8575502038002014 0.9886198043823242 0.9490758180618286 0.199321448802948 0.05238163471221924 0.0025281831175470748 0.04474234597933002 0.00012600536682830745 0.9276837110519409 0.9091858863830566
2        0.7748865056782961 0.7786301141604781 0.9414366483688354 0.911647576145057 0.0351085104840867 0.03233516216278076 0.9199943095445633 0.9758058706904373 0.8824004232883453 0.9742770487839465 0.8811773061752319 0.9945230346173048 0.9821177124977112 0.3608977198600769 0.0016121864318847656 0.0030457596432995667 0.06851788408744264 0.00010752257274476793 0.8802265077829361 0.5912978053092957
3        0.7928703476985296 0.8316637799143791 0.9508443176746368 0.9039224661562754 0.05739094465970995 0.05082175135612488 0.9541386961936951 0.9897679986424919 0.9142608642578125 0.9849095595700419 0.9142608642578125 0.9701633652051289 0.9733631163835526 0.009025394916534424 0.007967352867126465 0.00021155915561985687 0.01022197245312783 1.790095610054992e-05 0.8511840502421061 0.6973242163658142
4        0.7978930920362473 0.8286216452717781 0.967169925570488 0.9175542232890924 0.06052063533238006 0.05936338007450104 0.8605808019638062 0.9220071861656671 0.810372918844223 0.9355476140447041 0.810372918844223 0.986806849638621 0.96963170170784 0.033533334732055664 0.24471557140350342 0.0009078835494084034 0.035673307256197107 3.817231950774633e-05 0.8615762591362 0.6697341203689575
5        0.8074141157170137 0.8060128341118495 0.9636006653308868 0.905982647202353 0.05038985013961794 0.0716545432806015 0.8881167123715082 0.9682825886565638 0.825954794883728 0.9812991566029043 0.8719928860664368 0.9798347341517608 0.96171835064888 0.003243863582611084 0.0005317330360412598 0.0016623242796278256 0.07314821781950646 5.551905537877923e-05 0.9277263085047404 0.7254422903060913
6        0.8327239483594895 0.8698984250426293 0.9686957448720932 0.911078613212234 0.02938215434551239 0.031492918729782104 0.9614323318004608 0.985970247865172 0.8653422594070435 0.993591466462135 0.9641263484954834 0.9841439060866832 0.9963613748550415 0.03694140911102295 0.0018799901008605957 0.00045761227124018925 0.058201221079912525 2.6339917054627372e-05 0.8906690955162049 0.61393141746521
7        0.7491595130413771 0.7609949810430408 0.9273334741592407 0.905052669045299 0.04978733432704008 0.03719612956047058 0.9428756833076477 0.9831825598772639 0.9133403897285461 0.9439963096046968 0.7796711325645447 0.9961796659976244 0.9605274498462677 0.01542586088180542 0.005815684795379639 0.0007977353620347845 0.041581508168421065 3.2292167660825986e-05 0.8674430102109909 0.7755333781242371
8        0.8040771931409836 0.8169686309993267 0.945073202252388 0.9146685563265138 0.013787541006292647 0.022513091564178467 0.887822436434882 0.918234634304889 0.7886954843997955 0.9294814358958678 0.7886954843997955 0.9921012558043003 0.9615311175584793 0.007374823093414307 0.0024924278259277344 0.0016741947493685767 0.10205954046583035 4.730530776325456e-05 0.9446665389197213 0.8399978280067444
9        0.8166582211852074 0.8353432479004066 0.9658820480108261 0.9069887957587017 0.02862093571958868 0.04611709713935852 0.9138472974300385 0.9447661324831251 0.8558950126171112 0.950495892944665 0.8558950126171112 0.9908949707945188 0.9892120659351349 0.5057568550109863 0.0048860907554626465 0.003604228084003787 0.08772886125523481 0.00023852605025844758 0.9287440776824951 0.8048326373100281
10       0.8194838978350163 0.856774489954114 0.9632836878299713 0.9046508478895416 0.048871010541915894 0.03589700162410736 0.9421395540237427 0.9885266345818096 0.8998841047286987 0.9827952728995974 0.8997621834278107 0.9958928241084019 0.9766823202371597 0.003683745861053467 0.056672871112823486 0.0005087114236087433 0.049719762603566864 1.5429984693189103e-05 0.9165599703788757 0.7254016399383545
11       0.7982104107737541 0.7973511832455794 0.9626353830099106 0.8992316157540732 0.030438169836997986 0.054357558488845825 0.9191687762737274 0.9786185806885612 0.8705638945102692 0.9737544444302593 0.8577888607978821 0.9837654054164887 0.9557060897350311 0.4677966237068176 0.0011571645736694336 0.0020268242342454256 0.05971057574142226 0.0001750247321925444 0.9555229783058167 0.9021189212799072
12       0.766737912595272 0.779267305880785 0.964429497718811 0.9197159278749799 0.042147202547206386 0.049343958497047424 0.9184907257556916 0.9563412405129821 0.8525695204734802 0.942200937167037 0.7754435837268829 0.9906615287065506 0.975855141878128 0.01690685749053955 0.1462765336036682 0.0044931659198041915 0.10220089068908322 9.227598249093576e-05 0.9130165219306946 0.789869487285614
