ID       faithfulness    informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step reasoning_alignment external_hallucination redundancy      common_sense_error missing_step    semantic_coverage_step semantic_coverage_chain discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step    grammar_step_max
0        0.8537933006882668 0.8568714261054993 0.9374150633811951 0.9422367823123932 0.04475462933381402 0.059677258133888245 0.9304184839129448 0.9846637651498087 0.8868190348148346 0.990984720149747 0.8957239985466003 0.9954853331049284 0.9637985676527023 0.011848151683807373 0.864032194018364 0.0019139210330467974 0.020851410741366677 9.48117211461549e-05 0.819879800081253 0.703682005405426
1        0.8840242922306061 0.8922770172357559 0.933093398809433 0.9382640495896339 0.026908072733110022 0.030738383531570435 0.9413584272066752 0.9902137334237153 0.8879589438438416 0.9689903219856433 0.8162946701049805 0.9629575411478678 0.9507418274879456 0.199321448802948 0.05238163471221924 0.0025281831175470748 0.04474234597933002 0.00012600536682830745 0.9276837110519409 0.9091858863830566
2        0.8685075268149376 0.8702634796500206 0.9403607547283173 0.9397463315594805 0.02771216962072587 0.0748133510351181 0.9032553806900978 0.9747122197977038 0.8431757986545563 0.9683637443448587 0.8431757986545563 0.9912420198321342 0.9869515895843506 0.3608977198600769 0.0016121864318847656 0.0030457596432995667 0.06851788408744264 0.00010752257274476793 0.8802265077829361 0.5912978053092957
3        0.870516836643219 0.8829807142416637 0.964055210351944 0.9332308733747119 0.03687257236904573 0.08857619762420654 0.9829167822996775 0.9976684944524266 0.9647819101810455 0.9977141861712671 0.9647819101810455 0.9927634795506796 0.9919061660766602 0.009025394916534424 0.007967352867126465 0.00021155915561985687 0.01022197245312783 1.790095610054992e-05 0.8511840502421061 0.6973242163658142
4        0.8784433702627817 0.8928817917903265 0.9692009389400482 0.9468502722680568 0.04232677546414465 0.0817703902721405 0.9325659771760305 0.9866654769955137 0.9113323092460632 0.9879666220922196 0.9113323092460632 0.990425705909729 0.9758532792329788 0.033533334732055664 0.24471557140350342 0.0009078835494084034 0.035673307256197107 3.817231950774633e-05 0.8615762591362 0.6697341203689575
5        0.8532856305440267 0.8573114114503066 0.960889995098114 0.937740195219911 0.03692883610725406 0.036644160747528076 0.9138244042793909 0.9590610485624786 0.8479941487312317 0.9774274913374432 0.8659939467906952 0.9850058257579803 0.9821970164775848 0.003243863582611084 0.0005317330360412598 0.0016623242796278256 0.07314821781950646 5.551905537877923e-05 0.9277263085047404 0.7254422903060913
6        0.8837536394596099 0.9063039084275564 0.9792844653129578 0.9443544292069496 0.0268300741910934 0.03817775845527649 0.9775177359580993 0.9954246181928941 0.9516249895095825 0.9968539726354244 0.966871440410614 0.9974287196993827 0.9922458380460739 0.03694140911102295 0.0018799901008605957 0.00045761227124018925 0.058201221079912525 2.6339917054627372e-05 0.8906690955162049 0.61393141746521
7        0.871093362569809 0.8660152889788151 0.9740365445613861 0.9311365148713512 0.03155592194309942 0.03777110576629639 0.9600400626659393 0.9921988123775431 0.9363887906074524 0.9900112449607867 0.8828467130661011 0.9764295756816864 0.9766139984130859 0.01542586088180542 0.005815684795379639 0.0007977353620347845 0.041581508168421065 3.2292167660825986e-05 0.8674430102109909 0.7755333781242371
8        0.8886721900531224 0.9007316130612577 0.9537502974271774 0.9394870634294219 0.01207743763923641 0.05350428819656372 0.9234941857201713 0.9831234057700913 0.8435445129871368 0.973742231452114 0.8652223348617554 0.9778470375708171 0.9803047776222229 0.007374823093414307 0.0024924278259277344 0.0016741947493685767 0.10205954046583035 4.730530776325456e-05 0.9446665389197213 0.8399978280067444
9        0.8672171711921692 0.8863773485024771 0.9509414583444595 0.945996117642802 0.024206763064419823 0.048723623156547546 0.9387932062149048 0.9875693878615124 0.8804722726345062 0.9375709230569855 0.8051196932792664 0.9670745079716047 0.9691462516784668 0.5057568550109863 0.0048860907554626465 0.003604228084003787 0.08772886125523481 0.00023852605025844758 0.9287440776824951 0.8048326373100281
10       0.880786406993866 0.9025315980116526 0.973321869969368 0.9380044202352392 0.03246576303527471 0.04569746553897858 0.9610467076301574 0.9824044616472563 0.8949881196022034 0.9899682935301826 0.9127024412155151 0.9838419983784358 0.9831523895263672 0.003683745861053467 0.056672871112823486 0.0005087114236087433 0.049719762603566864 1.5429984693189103e-05 0.9165599703788757 0.7254016399383545
11       0.8100896358489991 0.8098811397949854 0.9711872935295105 0.9314094225947673 0.02977374873378058 0.07794295251369476 0.9780434012413025 0.9929944261419408 0.9636698961257935 0.9936060674091713 0.9636698961257935 0.9834344923496247 0.9925107061862946 0.4677966237068176 0.0011571645736694336 0.0020268242342454256 0.05971057574142226 0.0001750247321925444 0.9555229783058167 0.9021189212799072
12       0.861591637134552 0.867533552646637 0.9431172311306 0.9475496766975572 0.04247619326298058 0.07439203560352325 0.9440958380699158 0.9818631521310648 0.873174637556076 0.9691322308060037 0.8269075155258179 0.9943507671356201 0.9668374806642532 0.01690685749053955 0.1462765336036682 0.0044931659198041915 0.10220089068908322 9.227598249093576e-05 0.9130165219306946 0.789869487285614
13       0.8834503650665283 0.8837618708610535 0.9625167101621628 0.9430313219918924 0.020409065697874373 0.06292536854743958 0.9033649861812592 0.9804951503803423 0.8710687160491943 0.979261383058522 0.8774348199367523 0.9682323426008225 0.9758819490671158 0.002714395523071289 0.0018047690391540527 0.002316095731284256 0.07466308558621765 8.412214570663247e-05 0.8908315062522888 0.6067248582839966
14       0.8264730125665665 0.8698435500264168 0.9451625943183899 0.9398096888247183 0.04288593530654905 0.11220553517341614 0.8773796359697977 0.9539144271337787 0.8285881578922272 0.9283014068153634 0.7697415053844452 0.987978699306647 0.9634654223918915 0.8511076718568802 0.9478170946240425 0.0013166629780735557 0.02432070275313406 8.380777074392308e-05 0.8877808252970377 0.8182119131088257
15       0.8111747145652771 0.8211396555105845 0.9686309993267059 0.9354717645092286 0.023291927244928123 0.06803853809833527 0.8813538610935211 0.9488659484855884 0.7674024701118469 0.9861032571895976 0.893323540687561 0.9485032945871353 0.9838603734970093 0.8109819889068604 0.19371551275253296 0.0007251283987693338 0.07878936606733225 1.817167394323016e-05 0.8655428290367126 0.4963746666908264
